Tag,Count
Alternate Universe - Bakery,1
Alternate Universe,26
Alternate Universe - Human,3
Alternate Universe - Canon Divergence,71
Alternate Universe - High School,7
Alternate Universe - Royalty,4
Alternate Universe - Fantasy,6
Alternate Universe - No Girlfriends/No Wives,1
Alternate Universe - Time Travel,3
Fantasy AU,1
Alternate Universe - Modern Setting,27
modern magical au,1
Alternate Universe - Not K-Pop Idols,1
Alternate Universe - Magic,5
Alternate Universe - Modern: No Powers,2
Alternate Universe - Tattoo Parlor,1
Alternate Universe - Ancient Rome,1
Alternate Universe - College/University,12
Alternate Universe - Ancient Greek Religion & Lore Fusion,1
AU WHERE ELLIOT IS ACTUALLY ELLIOT,1
Alternate Universe - Muggle,4
Alternate universe - Mafia,2
Alternate Universe - Non-Magical,3
Alternate Universe - Coffee Shops & Cafes,3
Alternate Universe - Atomic Blonde (2017) Fusion,1
Alternate Universe - Regency,2
Summer Camp AU,1
Muggle AU,2
Alternate Universe - Everyone Lives/Nobody Dies,3
College AU,1
Alternate Universe - Dinosaurs,1
Alternate Universe - Jurassic Park Fusion,1
Alternate Universe - Non-Famous,2
Alternate Universe - Merpeople,1
Alternate Universe - No Curses (Jujutsu Kaisen),1
Alternate Universe - No Powers,5
Alternate Universe - Hogwarts,1
Alternate Universe - Percy Jackson Fusion,1
Alternate Universe - Marvel Cinematic Universe Fusion,1
Corpse Bride AU,1
Alternate Universe - 19th Century,1
Alternate Universe - Mythology,2
Alternate Universe - Vampire,3
Alternate Universe - Soulmates,4
Alternate Universe - Reincarnation,1
Alternate Universe - Porn,2
Alternate Universe - Zombie Apocalypse,1
Ari Survives AU,1
Alternate Universe - Mermaids,1
Alternate Universe - Pirate,1
Alternate Universe - Historical,3
Alternate Universe - Medieval,3
Alternate Universe - Different First Meeting,1
Alternate Universe - Werewolf,1
Alternate Universe - No Band,1
Alternate Universe - No Upside Down (Stranger Things),2
Alternate Universe - 1980s,2
Alternate Universe - Fae,1
Alternate Universe - Wings,1
Alternate Universe - Gods & Goddesses,2
Alternate Universe - Real World,1
Alternate Universe - Restaurant,1
Alternate Universe - Football,1
Alternate Universe - Gang World,1
espers au,1
Alternate Universe - Role Reversal,2
Alternate Universe - Pre-Canon,1
Magic AU,1
Slight Superhero AU,1
Angels AU,1
Mafia AU,1
Alternate Universe - Gender Changes,1
AU,1
bookfair au lets go,1
Alternate Universe - Office,1
Alternate Universe - Professors,1
Alternate Universe - Cytherea Doesn't Go To Canaan House,2
john loves you AU,1
Alternate Universe - Digimon Fusion,1
Alternate Universe - Mashima Hiro's Fairy Tail Setting,1
Alternate Universe - No Zombies,1
Alternate Universe - Science Fiction,1
Alternate Universe - Space,1
Alternate Universe - Valorant,1
Alternate Universe - Rock Band,1
